apple,microsoft
0.161272,0.105903
0.159598,0.106337
0.156808,0.105035
0.157366,0.105035
0.161272,0.104167
0.160156,0.104167
0.162946,0.102431
0.162388,0.102431
0.163504,0.101563
0.165179,0.101563
0.167969,0.101563
0.165737,0.098958
0.155134,0.095486
0.15625,0.095486
0.15904,0.101563
0.15625,0.105903
0.154576,0.105035
0.15904,0.106771
0.154576,0.105035
0.145089,0.100694
0.143973,0.09809
0.147879,0.099826
0.155692,0.099826
0.152902,0.102431
0.15067,0.103299
0.149554,0.103299
0.157366,0.102431
0.161272,0.104167
0.156808,0.102865
0.152344,0.100694
0.150112,0.100694
0.146763,0.09809
0.148996,0.09809
0.15067,0.097222
0.15346,0.097222
0.15067,0.100694
0.151786,0.105903
0.146763,0.108073
0.146205,0.111111
0.146763,0.114583
0.147879,0.119792
0.154576,0.115451
0.149554,0.116319
0.148996,0.121528
0.15067,0.121528
0.149554,0.125
0.147321,0.126736
0.146205,0.131076
0.145089,0.131076
0.147879,0.131076
0.149554,0.131076
0.151786,0.134549
0.149554,0.137587
0.149554,0.133681
0.152902,0.136285
0.155134,0.135417
0.155692,0.137153
0.159598,0.142361
0.163504,0.151042
0.160714,0.154514
0.160156,0.153646
0.158482,0.148438
0.159598,0.148438
0.162946,0.148438
0.158482,0.146267
0.157366,0.147569
0.162388,0.148438
0.156808,0.140625
0.155692,0.145833
0.157366,0.157986
0.16183,0.162326
0.169643,0.175347
0.179129,0.177083
0.180804,0.175347
0.178571,0.172743
0.180804,0.170139
0.185826,0.170139
0.19029,0.168837
0.19029,0.171007
0.194754,0.170139
0.189174,0.168403
0.189174,0.167535
0.194754,0.168837
0.191406,0.170139
0.183036,0.164063
0.185826,0.16059
0.189174,0.161458
0.183594,0.163194
0.18471,0.164931
0.1875,0.168403
0.188616,0.170139
0.1875,0.171875
0.186942,0.171441
0.183036,0.171007
0.180804,0.164063
0.183036,0.165799
0.180246,0.167535
0.184152,0.165799
0.192522,0.175347
0.195871,0.177951
0.199777,0.188368
0.199777,0.193576
0.203125,0.201389
0.201451,0.212674
0.199219,0.208333
0.215402,0.208333
0.223214,0.219618
0.217634,0.21441
0.245536,0.222222
0.227121,0.225694
0.218192,0.235243
0.234375,0.258681
0.223214,0.236111
0.223214,0.238715
0.236607,0.248264
0.249442,0.249132
0.241071,0.238715
0.247768,0.253906
0.25,0.253472
0.247768,0.249132
0.245536,0.25
0.241071,0.248264
0.236049,0.238715
0.234375,0.236979
0.236607,0.238715
0.254464,0.249132
0.261719,0.266493
0.277344,0.263889
0.297433,0.265625
0.283482,0.248264
0.27846,0.238715
0.271763,0.236111
0.282366,0.250868
0.292411,0.263021
0.310268,0.258681
0.308594,0.268229
0.313616,0.266493
0.301339,0.258681
0.293527,0.258681
0.301339,0.27691
0.300223,0.289931
0.296875,0.289063
0.287946,0.283854
0.300223,0.296875
0.294643,0.296875
0.291295,0.298177
0.283482,0.286458
0.292411,0.28559
0.300223,0.296875
0.293527,0.310764
0.304688,0.31684
0.303571,0.313368
0.302455,0.303819
0.296875,0.313368
0.297991,0.312066
0.300223,0.311632
0.283482,0.318576
0.277902,0.331597
0.28125,0.335938
0.304688,0.321181
0.319196,0.329861
0.319196,0.346354
0.311384,0.344618
0.302455,0.326389
0.30692,0.335938
0.31808,0.329861
0.3125,0.331597
0.297991,0.321181
0.310268,0.328993
0.31808,0.333333
0.319196,0.342014
0.313616,0.332465
0.342076,0.337674
0.331473,0.342014
0.33817,0.342014
0.331473,0.34375
0.33817,0.34375
0.344866,0.368924
0.348214,0.358507
0.354911,0.361111
0.354911,0.364583
0.357143,0.372396
0.359375,0.40191
0.356027,0.392361
0.359375,0.411458
0.34375,0.439236
0.339286,0.427083
0.33817,0.414931
0.34933,0.422743
0.353795,0.425347
0.34933,0.414063
0.33817,0.400174
0.325893,0.384549
0.333705,0.381076
0.334821,0.387153
0.332589,0.375868
0.348214,0.380208
0.354911,0.380208
0.358259,0.403646
0.354911,0.400174
0.345982,0.392361
0.344866,0.392361
0.348214,0.393229
0.351563,0.390625
0.347098,0.37934
0.345982,0.381076
0.351563,0.378472
0.350446,0.365451
0.352679,0.338542
0.352679,0.341146
0.370536,0.341146
0.370536,0.349826
0.359375,0.359375
0.370536,0.365451
0.368304,0.364583
0.375,0.360243
0.370536,0.358507
0.375,0.362847
0.363839,0.363715
0.361607,0.363715
0.361607,0.362847
0.363839,0.353299
0.357143,0.356771
0.363839,0.346354
0.361607,0.337674
0.350446,0.315972
0.332589,0.325521
0.339286,0.330729
0.348214,0.336806
0.366071,0.347222
0.383929,0.364583
0.392857,0.355903
0.395089,0.354167
0.383929,0.354167
0.375,0.345486
0.370536,0.344618
0.383929,0.347222
0.370536,0.340278
0.379464,0.342014
0.379464,0.34809
0.375,0.345486
0.366071,0.344618
0.368304,0.335069
0.366071,0.326389
0.361607,0.318576
0.377232,0.326389
0.386161,0.338542
0.412946,0.350694
0.430804,0.360243
0.441964,0.361111
0.441964,0.352431
0.435268,0.347222
0.433036,0.357639
0.441964,0.359375
0.439732,0.359375
0.441964,0.355903
0.448661,0.355903
0.462054,0.364583
0.473214,0.371528
0.470982,0.391493
0.473214,0.398438
0.466518,0.401042
0.464286,0.402778
0.466518,0.415799
0.488839,0.409722
0.464286,0.390625
0.46875,0.403646
0.457589,0.400174
0.448661,0.388021
0.448661,0.388889
0.475446,0.393229
0.482143,0.397569
0.488839,0.404514
0.473214,0.414931
0.462054,0.409722
0.464286,0.40625
0.464286,0.402778
0.462054,0.371528
0.450893,0.371528
0.483259,0.401042
0.493304,0.416667
0.506696,0.427083
0.513393,0.430556
0.5,0.447917
0.484375,0.444444
0.506696,0.460069
0.520089,0.479167
0.522321,0.510417
0.53125,0.548611
0.495536,0.513889
0.495536,0.508681
0.484375,0.501736
0.484375,0.5
0.486607,0.501736
0.479911,0.508681
0.475446,0.489583
0.466518,0.489583
0.430804,0.427083
0.34375,0.319444
0.34375,0.359375
0.350446,0.394097
0.319196,0.364583
0.308036,0.322917
0.263393,0.282986
0.274554,0.277778
0.305804,0.286458
0.357143,0.345486
0.345982,0.342014
0.339286,0.342014
0.316964,0.326389
0.323661,0.340278
0.341518,0.348958
0.330357,0.324653
0.325893,0.322917
0.332589,0.329861
0.34375,0.352431
0.350446,0.347222
0.337054,0.338542
0.328125,0.324653
0.319196,0.329861
0.325893,0.335069
0.303571,0.315972
0.316964,0.328125
0.328125,0.336806
0.330357,0.329861
0.323661,0.319444
0.301339,0.307292
0.299107,0.309028
0.296875,0.302083
0.294643,0.307292
0.270089,0.279514
0.276786,0.298611
0.299107,0.300347
0.308036,0.328125
0.301339,0.315972
0.310268,0.331597
0.308036,0.333333
0.337054,0.355903
0.337054,0.350694
0.361607,0.380208
0.352679,0.364583
0.361607,0.364583
0.372768,0.357639
0.372768,0.369792
0.375,0.369792
0.377232,0.368056
0.361607,0.355903
0.379464,0.378472
0.379464,0.383681
0.381696,0.380208
0.410714,0.397569
0.401786,0.397569
0.388393,0.402778
0.397321,0.418403
0.357143,0.387153
0.383929,0.402778
0.375,0.388889
0.381696,0.397569
0.388393,0.409722
0.383929,0.402778
0.377232,0.388889
0.383929,0.394097
0.361607,0.376736
0.361607,0.386285
0.352679,0.376736
0.363839,0.381944
0.359375,0.380208
0.357143,0.388889
